keep	question_id	topic_sim	orig_type	question	src_gold(참고: 이 답이 지문에 없어야 함)	context_head	검수사유
O	natua_numeric_reasoning_numeric-91ea7702-6ee2-4889-bc56-73736b2faf00	0.1111	numeric_reasoning	현대오일뱅크의 1분기 연결기준 영업이익은 매출액 대비 몇 %인가?	2일 현대오일뱅크는 1분기 연결기준 영업이익 1008억원을 기록, 직전 분기 대비 2761억원 개선되며 흑자	KT는 지난해 연결기준 영업이익이 1조6718억2432만원으로 전년대비 41.2% 증가했다고 9일 공시했다. 같은 기간 매출액은 24조8980억513만원으로 4.1% 늘어난 것으로 나타났다. 당기순이익은 1조4593억9519만원으로 107.5% 증가한 것으로 집계됐다.	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
O	natua_numeric_reasoning_numeric-611f3870-f007-4e96-89c7-d8882a3bdbcb	0.1099	numeric_reasoning	13일 오전 9시 43분 현재 코스닥시장에서 에코프로에이치엔의 주가는 모회사인 에코프로 대비 몇 퍼센트 높게 거래되고 있는가?	76.13%	국고채 금리가 5~10년물을 중심으로 장 초반 소폭 내림세를 보이고 있다. 3일 코스콤에 따르면 이날 오전 9시 40분 현재 국고채 10년물 지표 종목인 국고20-9는 연 1.962%의 수익률을 나타내고 있다. 전날보다 0.8bp(1bp=0.01%) 내렸다. 5년물 지표 종목인 국고20-6도 전 거래일 대비 1.4bp 내린 1.443%을 기록 중이다. 국고	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_numeric_reasoning_numeric-ddbc539a-b471-4f85-8238-7f00a7ac04a9	0.0962	numeric_reasoning	한국예탁거래원이 집계한 상반기 1년 미만 단기사채 발행 금액이 78조 2000억 원으로 전년 대비 3.2% 감소한 업종은 무엇인가?	카드·캐피탈 등 기타 금융회사	대덕전자 주가가 상승 중이다. 25일 한국거래소에 따르면 대덕전자는 이날 오전 10시 24분 기준 전 거래일 대비 2050원 (8.93%) 오른 2만5000원에 거래 중이다. 지난 23일 대덕전자는 지난해 연결기준 영업이익이 718억6713만원으로 전년 동기 대비 2580.5% 증가했다고 공시했다. 같은 기간 매출액은 1조9억2809만원으로 61.3% 늘어	분야 상이
O	natua_numeric_reasoning_numeric-d763d254-cfcf-4461-9c64-8a5b0db265a8	0.0896	numeric_reasoning	8일의 전날 유가증권시장에서 SK바이오팜은 장중 고가보다 얼마 하락한 가격에 거래를 마쳤는가?	53000원	코스피가 6일 상승세로 출발해 장중 2160선을 넘었다. 이날 오전 9시 13분 현재 코스피 지수는 전 거래일보다 12.16포인트(0.56%) 오른 2164.57를 가리켰다. 지수는 전장보다 6.54포인트(0.30%) 오른 2158.95로 출발해 상승세를 유지하고 있다. 유가증권시장에서 개인과 기관이 각각 1066억원, 461억원어치 주식을 사들이고 있다.	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_numeric_reasoning_numeric-711df0f9-ba7e-48ac-afb1-8b8c188f62c9	0.0891	numeric_reasoning	이 시각 현재 코스피 지수를 기준으로 전일 코스피 지수는 얼마인가?	이 시각 현재 코스피 지수는 어제보다 7.58포인트 하락한 2101.17 포인트를 코스닥 지수는 3.08포인	코스피가 6일 상승세로 출발해 장중 2160선을 넘었다. 이날 오전 9시 13분 현재 코스피 지수는 전 거래일보다 12.16포인트(0.56%) 오른 2164.57를 가리켰다. 지수는 전장보다 6.54포인트(0.30%) 오른 2158.95로 출발해 상승세를 유지하고 있다. 유가증권시장에서 개인과 기관이 각각 1066억원, 461억원어치 주식을 사들이고 있다.	표면어/지시어 함정
O	natua_numeric_reasoning_numeric-0b418e46-53b6-4c94-a19b-5c11bbe63705	0.0884	numeric_reasoning	18일 코스피에서 현대건설과 대림산업 중 전 거래일 대비 하락률이 더 높은 것은 어디인가?	현대건설	게임기대주 크래프톤이 새해들어 주가 하락률 1위라는 불명예를 안았다. 크래프톤은 지난달 광주 대형 붕괴 사고를 낸 HDC현대산업개발보다 더 큰 하락폭을 보였다. 2일 한국거래소에 따르면 코스피에서 크래프톤 주가는 지난해 말 46만원에서 지난달 28일 27만4500원으로 새해들어 40.33%(18만5500원) 하락했다. 코스피 전 종목 가운데 지난 1월 하락	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
O	natua_numeric_reasoning_numeric-06f3fb76-2290-4ba1-99f6-cbe94335f569	0.0826	numeric_reasoning	14일 한국거래소에 따르면 삼성전자의 주식 첫 개장일의 종가는 전일 종가보다 얼마 높은가?	14일 한국거래소에 따르면 IT 업종 1등주 삼성전자의 올해 주가 상승률(1월4일 종가와 7월13일 종가 기	대덕전자 주가가 상승 중이다. 25일 한국거래소에 따르면 대덕전자는 이날 오전 10시 24분 기준 전 거래일 대비 2050원 (8.93%) 오른 2만5000원에 거래 중이다. 지난 23일 대덕전자는 지난해 연결기준 영업이익이 718억6713만원으로 전년 동기 대비 2580.5% 증가했다고 공시했다. 같은 기간 매출액은 1조9억2809만원으로 61.3% 늘어	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_yes_no_finance-6794159	0.0805	yes_no	믿을 수 있는 금융안정 측정 지표를 만들어서 금융안정을 위한 정책 방향을 정확하게 설정할 필요성이 있어	Yes	□ 시사점 ◦ 우리나라도 싱가포르의 정책 사례를 참고하여 ① 스마트폰 애플리케이션을 활용한 서비스 도입 등 여객운송 산업에서 지금까지 나타난 변화에 대응하고 자율주행자동차의 등장 등 앞으로 다가올 더 큰 변화에 효과적으로 대응할 수 있도록 새로운 여객운송 정책 체계를 마련하고 ② 그 과정에서 정책 당사자의 소통과 협력을 통하여 정책 수립의 효율성 및 신뢰성	분야 상이
X	natua_numeric_reasoning_numeric-9f704dbf-5f8d-4765-9df3-2f797ab90fcb	0.0792	numeric_reasoning	대신증권에서 국내 상장주식 거래 고객을 대상으로 9월 17일까지 진행하는 국내주식 거래 이벤트는 무엇인가?	매일매일 주식거래	종합미디어 업체 제이콘텐트리는 주식 10주를 1주로 합치는 액면병합을 진행한다고 9일 공시했다. 적정 주식수 유지를 통한 기업가치 제고와 주가 안정을 위해서다. 주당 액면가는 기존 500원에서 5000원이 되고 발행주식수는 1억4406만8982주에서 1440만6898주로 10분의 1 규모로 줄어든다. 주식 병합으로 인한 거래정지 기간은 오는 7월18일에서 	분야 상이
O	natua_numeric_reasoning_numeric-cce4ddb2-ba18-4381-ae7c-6f731af89110	0.0755	numeric_reasoning	지난 20~21일 진행된 기관 대상 수요예측에서 카카오뱅크는 상장 후 예상 시가총액을 얼마 수준으로 확정했는가?	약 19조5289억원	카카오뱅크(323410)가 현대차를 누르고 코스피 시가총액 9위 기업의 자리를 꿰찼다. 20일 한국거래소에 따르면 오전 9시 50분 기준 카카오뱅크는 전거래일 대비 1.30% 오른 9만 3,200원에 거래되고 있다. 시가총액은 44조 2,793억 원으로 불어 현대차(43조 9,088억원)를 제치고 코스피 시가총액 상위 9위 자리로 올라섰다. 현대차는 전거래	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
