keep	question_id	topic_sim	orig_type	question	src_gold(참고)	context_head	검수사유
X	natua_yes_no_finance-6794160_k1	0.0933	yes_no	금융안정을 위한 정책은 신뢰할 수 있는 측정 지표를 개발하여 명확한 방향 설정을 하는 것이 필요해	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794160_k2	0.0933	yes_no	금융안정을 위한 정책은 신뢰할 수 있는 측정 지표를 개발하여 명확한 방향 설정을 하는 것이 필요해	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794160_k3	0.0798	yes_no	금융안정을 위한 정책은 신뢰할 수 있는 측정 지표를 개발하여 명확한 방향 설정을 하는 것이 필요해	Yes	□ 시사점 ◦ 우리나라도 싱가포르의 정책 사례를 참고하여 ① 스마트폰 애플리케이션을 활용한 서비스 도입 등 여객운송 산업에서 지금까지 나타난 변화에 대응하고 자율주행자동차의 등장 등 앞으로 다가올 더 큰 변화에 효과적으로 대응할 수 있도록 새로운 여객운송 정책 체계를 마련하고 ② 그 과정에서 정책 당사자의 소통과 협력을 통하여 정책 수립의 효율성 및 신뢰성	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794157_k1	0.0752	yes_no	금융 규제로 금융 안정을 이루려는 경우 금융 수요자들을 보호하려는 목표와 부조화를 일으킬 수 있어	Yes	노인장기요양보험법 시행령 일부개정령(안) 입법예고 1. 개정사유 특별현금급여가 다른 금원과 섞이면서 해당 통장이 압류되는 경우 특별현금급여와 이를 받을 권리가 침해되는 것을 방지해 노인과 그 가족의 생활안정을 도모하려는 것을 목표로 「노인장기요양보험법」이 개정됨(법률 제14321호, 2016.12.2. 개정)에 따라 특별현금급여계좌 신청 방법·절차 및 관리	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794157_k2	0.0752	yes_no	금융 규제로 금융 안정을 이루려는 경우 금융 수요자들을 보호하려는 목표와 부조화를 일으킬 수 있어	Yes	노인장기요양보험법 시행령 일부개정령(안) 입법예고 1. 개정사유 특별현금급여가 다른 금원과 섞이면서 해당 통장이 압류되는 경우 특별현금급여와 이를 받을 권리가 침해되는 것을 방지해 노인과 그 가족의 생활안정을 도모하려는 것을 목표로 「노인장기요양보험법」이 개정됨(법률 제14321호, 2016.12.2. 개정)에 따라 특별현금급여계좌 신청 방법·절차 및 관리	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794171_k1	0.0746	yes_no	영란은행은 금융 시스템의 인프라와 관련된 안전성에 대한 조언을 재무부 장관을 통해 얻고 있지	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-6794171_k2	0.0746	yes_no	영란은행은 금융 시스템의 인프라와 관련된 안전성에 대한 조언을 재무부 장관을 통해 얻고 있지	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
O	natua_yes_no_finance-7161947_k1	0.0722	yes_no	계열 기업에게 은행 관련기관이 위험한 자산을 받는 것이 허가되어 있을까	No	(3) 금융안정협의기구 설치 한국은행 및 기획재정부, 금융위원회가 각각 금융 안정 목표와 정책수단을 분담하고 있는 상황이므로 금융 안정이라는 공동의 목표를 달성하기 위하여 각 기관이 참여하는 금융 안정협의기구를 구성하여 설치할 필요가 있다. 금융 안정협의기구는 각 기관의 금융 안정 관련 정보를 교환하고, 정책을 협의하는 기능을 수행하여야 할 것이다. 금융 	금융 동일분야·답 부재
X	natua_yes_no_finance-7161947_k2	0.0722	yes_no	계열 기업에게 은행 관련기관이 위험한 자산을 받는 것이 허가되어 있을까	No	(3) 금융안정협의기구 설치 한국은행 및 기획재정부, 금융위원회가 각각 금융 안정 목표와 정책수단을 분담하고 있는 상황이므로 금융 안정이라는 공동의 목표를 달성하기 위하여 각 기관이 참여하는 금융 안정협의기구를 구성하여 설치할 필요가 있다. 금융 안정협의기구는 각 기관의 금융 안정 관련 정보를 교환하고, 정책을 협의하는 기능을 수행하여야 할 것이다. 금융 	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
X	natua_yes_no_finance-7462316_k1	0.07	yes_no	취업 여성의 자녀 양육 부담을 효과적으로 줄일 수 있는 방법은 보육료 지원일까	No	□ 시사점 ◦ 우리나라도 싱가포르의 정책 사례를 참고하여 ① 스마트폰 애플리케이션을 활용한 서비스 도입 등 여객운송 산업에서 지금까지 나타난 변화에 대응하고 자율주행자동차의 등장 등 앞으로 다가올 더 큰 변화에 효과적으로 대응할 수 있도록 새로운 여객운송 정책 체계를 마련하고 ② 그 과정에서 정책 당사자의 소통과 협력을 통하여 정책 수립의 효율성 및 신뢰성	분야 상이/상식성/중복 (1차 판정 기준 동일 적용)
